FID,id,traeart,slaegt,dansk_navn,slaegtsnavn,planteaar,plantet_halvaar,garantiperioden_udloeber,plantemetode,ejer,driftsorganisation,driftsplan_navn,driftsaftale_edoc_nr,bemaerkning,andre_vaekstforhold,fredet_beskyttet_trae,fredning_edoc_nr,trae_historie,botanisk_interesse,donor,anledning,saerligt_trae,saerlig_trae_bem,bydelsnavn,fredet_trae_foto,vejstatus,wkb_geometry
gadetraer.1,8122,Tilia europaea,Tilia sp.,Park-Lind,Lind,1961,Ikke registreret,Ikke registreret,Muld,TMF,Privat,Gadetræer Indre by,Sagsnr: 2012-175912 Jarmers Plads 2,"Driftes af Realkredit Danmark, se e-docaftale - ejes af TMF",,Ikke registreret,,Ikke registreret,Ikke registreret,,,nej,,Indre By,,2,POINT (724167.4008246231 6176143.38433974)
gadetraer.2,20249,Fraxinus sp.,Fraxinus sp.,Ask,Ask,2005,Ikke registreret,Ikke registreret,Muld,TMF,TMF-Byens Drift,Gadetræer Amager Vest,,,,Ikke registreret,,Ikke registreret,Ikke registreret,,,nej,,Amager Vest,,2,POINT (725259.18553228 6174878.23818833)
gadetraer.3,12740,Tilia platyphyllos ,Tilia sp.,Storbladet lind,Lind,1954,Ikke registreret,Ikke registreret,Muld,TMF,TMF-Byens Drift,Gadetræer Indre by,,,,Ikke registreret,,Ikke registreret,Ikke registreret,,,nej,,Indre By,,2,POINT (725170.875243896 6175198.55974657)
gadetraer.4,56349,Tilia hybr. europaea 'Pallida' ,Tilia sp.,Kejserlind,Lind,2013,Første halvår,Ikke registreret,Muld,TMF,TMF-Byens Drift,Gadetræer Indre by,,,,Ikke registreret,,Ikke registreret,Ikke registreret,,,nej,,Indre By,,2,POINT (725092.386303494 6177911.71995948)
gadetraer.5,14385,Tilia europaea,Tilia sp.,Park-Lind,Lind,1980,Ikke registreret,Ikke registreret,Muld,TMF,TMF-Byens Drift,Gadetræer Indre by,,,,Ikke registreret,,Ikke registreret,Ikke registreret,,,nej,,Indre By,,2,POINT (725133.784939887 6177921.82683448)
gadetraer.6,14417,Tilia europaea,Tilia sp.,Park-Lind,Lind,1980,Ikke registreret,Ikke registreret,Muld,TMF,TMF-Byens Drift,Gadetræer Indre by,,,,Ikke registreret,,Ikke registreret,Ikke registreret,,,nej,,Indre By,,2,POINT (725161.135928863 6177908.89469205)
gadetraer.7,14469,Tilia europaea,Tilia sp.,Park-Lind,Lind,1980,Ikke registreret,Ikke registreret,Muld,TMF,TMF-Byens Drift,Gadetræer Indre by,,,,Ikke registreret,,Ikke registreret,Ikke registreret,,,nej,,Indre By,,2,POINT (725254.089524876 6177821.29440647)
gadetraer.8,3343,Tilia cordata ,Tilia sp.,Småbladet lind,Lind,1965,Ikke registreret,Ikke registreret,Muld,TMF,Udliciteret til K&S TreeCare,Gadetræer Vanløse,,,,Ikke registreret,,Ikke registreret,Ikke registreret,,,nej,,Vanløse,,2,POINT (721215.3694552269 6178045.68977494)
gadetraer.9,12509,Ulmus sp.,Ulmus sp.,Elm,Elm,2013,Første halvår,Ikke registreret,Muld,TMF,TMF-Byens Drift,Gadetræer Amager Vest,, ,,Ikke registreret,,Ikke registreret,Ikke registreret,,,nej,,Amager Vest,,2,POINT (725619.258725258 6174485.91794493)
gadetraer.10,14658,Platanus hybr. acerifolia ,Platanus sp.,Platan,Platan,1997,Ikke registreret,Ikke registreret,Muld,TMF,TMF-Byens Drift,Gadetræer Indre by,,,,Ikke registreret,,Ikke registreret,Ikke registreret,,,nej,,Indre By,,2,POINT (725467.459511284 6177765.72848843)
