FID,id,vejid,vejkode,vejnavn,vejstatus,ret_dato,opret_dato,wkb_geometry
vejflade.1,5807,0009985000000,0000,Unavngiven,Privat fællessti,,2015-01-25T00:00:00,"MULTIPOLYGON (((726737.904439553 6171847.5046882, 726776.288967496 6171858.02112109, 726775.603954126 6171861.55504066, 726736.9334171991 6171851.10272726, 726737.904439553 6171847.5046882)))"
vejflade.2,6581,0027884000000,0000,Unavngiven,Offentlig sti,,,"MULTIPOLYGON (((725363.1275325802 6175454.032576915, 725363.199701232 6175453.38029386, 725362.9505335551 6175452.43899375, 725362.645995283 6175451.74686131, 725362.2030305241 6175451.02704358, 725361.59395398 6175450.30722584, 725360.984877436 6175449.80889049, 725359.822094943 6175449.17212865, 725359.213018399 6175449.06138746, 725359.766724348 6175447.40026961, 725359.766724348 6175446.4035989, 725359.655983158 6175445.40692819, 725359.379130184 6175444.54868397, 725358.8531095319 6175443.57969856, 725358.327088881 6175442.94293672, 725357.6903270391 6175442.36154547, 725356.721341628 6175441.78015423, 725356.001523894 6175441.53098655, 725355.198650268 6175441.36487476, 725353.98049718 6175441.30950417, 725352.56854701 6175441.66941304, 725351.3227086251 6175442.33386018, 725350.298352619 6175443.21978969, 725349.495478993 6175442.33386018, 725348.360381797 6175441.42024536, 725347.086858114 6175440.78348352, 725346.3116697851 6175440.58968644, 725345.231943185 6175440.45125995, 725343.76462242 6175440.50663054, 725342.7956370091 6175440.61737173, 725342.67105317 6175439.53072381, 725342.456492115 6175438.8178274, 725342.186560465 6175438.09108834, 725341.829254725 6175437.44744583, 725341.214691169 6175436.56470561, 725340.5582035531 6175435.97074062, 725341.152168539 6175435.25173038, 725341.839917469 6175433.93875514, 725342.121269305 6175432.71956386, 725341.96496273 6175431.40658863, 725341.6928063551 6175430.40132994, 725341.245952484 6175429.56217104, 725340.6207261829 6175428.81189948, 725339.839193307 6175428.21793449, 725339.34500932 6175427.96187025, 725332.406679315 6175433.60858626, 725332.742874793 6175434.56398144, 725333.336839778 6175435.47055958, 725332.086387177 6175436.43966035, 725331.242331671 6175437.65885164, 725330.74215063 6175438.75299766, 725330.5233214251 6175439.47200791, 725330.42953748 6175440.2848021, 725330.42953748 6175441.25390286, 725330.61710537 6175442.25426495, 725331.023502466 6175443.37967229, 725331.5236835061 6175444.31751174, 725332.086387177 6175444.97399935, 725333.055487943 6175445.78679355, 725334.46224712 6175446.59958774, 725336.150358132 6175446.91220089, 725337.650901254 6175446.81841694, 725337.744685199 6175448.7097265, 725337.9791450619 6175449.67882727, 725338.3699115 6175450.50725211, 725338.854461883 6175451.38256894, 725339.839193307 6175452.52360693, 725340.683248813 6175453.19572521, 725341.699241552 6175453.78969019, 725342.746495606 6175454.18045663, 725343.528028482 6175454.33676321, 725344.153254782 6175454.36802452, 725344.9660489729 6175454.35239386, 725345.982041712 6175454.27424058, 725346.982403793 6175454.0085194, 725347.732675354 6175453.64901428, 725348.795560066 6175453.02378798, 725349.608354257 6175452.30477773, 725350.311733845 6175451.5076142, 725350.9369601461 6175450.49162146, 725351.358987899 6175450.80423461, 725352.031106172 6175451.24189302, 725353.2034054871 6175451.67955143, 725352.859531021 6175452.3516697, 725352.5781791861 6175453.3832931, 725352.593809843 6175454.97762016, 725352.8126390481 6175455.89982896, 725353.0783602261 6175456.6188392, 725353.62543324 6175457.43163339, 725354.141244938 6175458.0568597, 725355.093045753 6175458.84605615, 725356.6841812863 6175459.62651119, 725363.1275325802 6175454.032576915)))"
vejflade.3,1896,1019801000000,0000,Unavngiven,Kommunevej,,2011-02-09T00:00:00,"MULTIPOLYGON (((723366.8364737871 6180513.422450981, 723381.3345043174 6180472.411785187, 723410.4117392857 6180482.423781109, 723398.750050452 6180518.54003482, 723396.5597141881 6180524.40084331, 723366.8364737871 6180513.422450981)))"
vejflade.4,5811,0009985000000,0000,Unavngiven,Privat fællessti,,2015-01-25T00:00:00,"MULTIPOLYGON (((726965.3371939589 6171892.63660858, 727042.392 6171913.783, 727041.452633335 6171917.09953659, 726964.466 6171896.081, 726964.479828503 6171896.02565603, 726965.3371939589 6171892.63660858)))"
vejflade.5,6588,0084349000000,0000,Unavngiven,Offentlig sti,,,"MULTIPOLYGON (((725924.6320038287 6176186.389508433, 725914.6794453671 6176170.545029911, 725936.168391945 6176162.373920556, 725945.302972832 6176159.369238932, 725955.9428096007 6176156.0067470595, 725962.4658699337 6176154.1023286125, 725972.6720202351 6176151.51636043, 725975.7998748721 6176156.37864348, 725991.413833975 6176153.1769303, 726029.99327312 6176147.10850455, 726027.128086096 6176142.06862923, 726053.497821699 6176137.07929011, 726078.8872392393 6176131.444597413, 726092.196040182 6176128.26341529, 726099.7837348284 6176126.332401742, 726103.4481342154 6176125.397623806, 726106.2215861586 6176136.170059797, 726110.9195022294 6176142.4343599, 726106.850744317 6176143.560788172, 726082.9114312872 6176149.429302955, 726062.2246904386 6176154.134844338, 726036.892662167 6176159.01191965, 726034.035696155 6176154.0172227, 725979.997635513 6176162.94080779, 725983.227498552 6176167.94287185, 725969.907234572 6176171.12496047, 725955.940602911 6176175.06946643, 725945.495345488 6176178.51977189, 725924.6320038287 6176186.389508433)))"
vejflade.6,5810,0009985000000,0000,Unavngiven,Privat fællessti,,2015-01-25T00:00:00,"MULTIPOLYGON (((726881.561195975 6171886.49098861, 726919.973 6171896.849, 726951.059 6171890.599, 726955.7390425149 6171889.65799889, 726954.771494533 6171893.61851976, 726919.809 6171900.466, 726880.695165407 6171889.97131598, 726880.734690547 6171889.81247583, 726881.128180691 6171888.2311523, 726881.561195975 6171886.49098861)))"
vejflade.7,4633,1018660010000,0000,Unavngiven,Kommunevej,,2011-02-09T00:00:00,"MULTIPOLYGON (((718811.883943365 6179640.51293997, 718842.372302556 6179632.50785445, 718864.2857369491 6179626.97453476, 718917.890467855 6179613.15475139, 718948.628456353 6179605.435582, 718949.9681167817 6179612.710078402, 718921.94345218 6179619.41770864, 718864.760350676 6179634.18644056, 718850.3320228889 6179637.9128574, 718821.570057853 6179645.34123458, 718815.57851538 6179647.42726049, 718813.169791201 6179642.91928591, 718811.883943365 6179640.51293997)))"
vejflade.8,6060,0028703020000,0000,Unavngiven,Offentlig sti,2015-07-27T00:00:00,2015-07-27T00:00:00,"MULTIPOLYGON (((726280.1094237927 6176058.195648815, 726275.3804122687 6176074.074309168, 726267.0239574662 6176072.615285685, 726267.6916461788 6176071.78862347, 726270.8075268378 6176061.264577571, 726272.1089670918 6176057.1708292635, 726275.1 6176061.052, 726280.1094237927 6176058.195648815)))"
vejflade.9,5809,0009985000000,0000,Unavngiven,Privat fællessti,,2015-01-25T00:00:00,"MULTIPOLYGON (((726785.971225995 6171860.74228233, 726871.883130487 6171883.91196586, 726871.8599486409 6171884.01143618, 726871.093 6171887.303, 726828.115 6171875.739, 726785.185 6171864.121, 726785.971225995 6171860.74228233)))"
vejflade.10,4065,1010004010000,0004,Abel Cathrines Gade,Privat fællesvej,,2011-02-09T00:00:00,"MULTIPOLYGON (((723799.429216637 6175271.57761136, 723803.841019647 6175269.54056697, 723816.4579404921 6175298.05494792, 723811.9539607911 6175300.23870321, 723807.6600769911 6175290.41276111, 723799.429216637 6175271.57761136)))"
